text,timestamp,label
i'm,"[0.456, 0.596]",O
trying,"[0.636, 0.936]",O
to,"[0.976, 1.036]",O
watch,"[1.077, 1.337]",O
less,"[1.417, 1.637]",O
porn,"[1.697, 2.137]",O
lately,"[2.357, 2.778]",O
um,"[2.798, 2.838]",L
i,"[3.338, 3.478]",L
don't,"[3.498, 4.379]",L
know,"[4.399, 4.539]",L
anyone,"[4.599, 4.879]",L
else,"[4.939, 5.199]",O
trying,"[5.279, 5.439]",O
to,"[5.459, 5.519]",O
cut,"[5.539, 5.72]",O
down,"[5.76, 6.02]",O
now,"[6.04, 6.1]",L
okay,"[6.86, 7.581]",L
absolute,"[8.381, 8.882]",L
perverts,"[8.922, 9.462]",O
all,"[9.522, 9.682]",O
of,"[9.702, 9.762]",O
you,"[9.802, 10.082]",L
uh,"[10.723, 10.843]",L
hello,"[11.223, 11.88]",O
you,"[12.744, 12.904]",O
sound,"[12.944, 13.225]",O
very,"[13.265, 13.525]",O
very,"[13.565, 13.785]",O
excited,"[13.825, 14.305]",O
uh,"[14.325, 14.706]",O
i'm,"[14.826, 14.966]",O
crystal,"[15.026, 15.386]",O
evans,"[15.466, 15.766]",O
very,"[15.806, 16.006]",O
good,"[16.046, 16.187]",O
to,"[16.227, 16.307]",O
be,"[16.347, 16.507]",O
here,"[16.567, 16.887]",O
uh,"[16.907, 16.947]",O
i'll,"[17.527, 17.648]",O
let,"[17.668, 17.768]",O
everybody,"[17.808, 18.068]",O
know,"[18.088, 18.228]",O
up,"[18.268, 18.348]",O
top,"[18.388, 18.628]",O
uh,"[19.068, 19.128]",O
where,"[19.169, 19.309]",O
i'm,"[19.329, 19.449]",O
from,"[19.489, 19.709]",O
i'm,"[19.809, 19.929]",O
from,"[19.969, 20.149]",O
the,"[20.209, 20.289]",O
west,"[20.349, 20.629]",O
coast,"[20.71, 21.09]",O
of,"[21.49, 21.55]",O
the,"[21.59, 21.67]",O
u.s,"[21.79, 22.211]",O
uh,"[22.671, 22.751]",O
now,"[22.811, 22.931]",O
a,"[22.951, 22.971]",O
lot,"[23.011, 23.131]",O
of,"[23.151, 23.211]",O
people,"[23.231, 23.491]",O
over,"[23.551, 23.712]",O
here,"[23.772, 24.092]",O
hear,"[24.192, 24.372]",O
that,"[24.432, 24.712]",O
and,"[24.852, 24.952]",O
they,"[24.992, 25.132]",O
think,"[25.193, 25.373]",O
of,"[25.433, 25.533]",O
like,"[25.593, 25.813]",O
California,"[26.226, 27.227]",O
and,"[27.307, 27.387]",O
the,"[27.407, 27.487]",O
Beach,"[27.527, 27.787]",O
Boys,"[27.867, 28.367]",O
and,"[28.427, 28.527]",O
sunshine,"[28.587, 29.288]",O
and,"[29.348, 29.428]",O
"marijuana,","[29.448, 30.108]",O
right?,"[30.288, 30.589]",O
But,"[30.669, 30.929]",O
I'm,"[31.649, 31.769]",O
from,"[31.789, 31.929]",O
Washington,"[31.969, 32.49]",L
"State,","[32.51, 32.87]",L
so,"[34.011, 34.171]",O
think,"[34.211, 34.411]",O
more,"[34.431, 34.591]",O
like,"[34.631, 34.771]",O
Nirvana,"[34.831, 35.411]",O
and,"[35.491, 35.592]",O
rain,"[35.672, 35.952]",O
and,"[35.992, 36.092]",O
"heroin,","[36.132, 36.572]",O
right?,"[36.772, 37.092]",L
And,"[38.053, 38.193]",O
I,"[38.253, 38.313]",O
live,"[38.353, 38.493]",O
in,"[38.533, 38.593]",O
Scotland,"[38.633, 39.094]",O
"now,","[39.134, 39.314]",O
so,"[39.394, 39.514]",O
that,"[39.534, 39.674]",O
really,"[39.694, 39.894]",O
feels,"[39.914, 40.114]",O
like,"[40.154, 40.334]",O
home,"[40.374, 40.615]",O
to,"[40.675, 40.775]",O
me.,"[40.815, 41.035]",L
It's,"[41.055, 41.135]",L
really,"[41.155, 42.015]",L
good.,"[42.115, 42.476]",L
I,"[42.796, 42.916]",O
travel,"[42.976, 43.376]",O
a,"[43.416, 43.436]",O
bit,"[43.476, 43.636]",O
for,"[43.676, 43.796]",O
"comedy,","[43.836, 44.237]",O
right?,"[44.297, 44.597]",O
I,"[44.617, 44.637]",O
travel,"[44.677, 45.037]",O
a,"[45.057, 45.097]",O
bit.,"[45.137, 45.377]",O
I,"[45.718, 45.778]",O
was,"[45.798, 45.918]",O
in,"[45.978, 46.038]",O
Iceland,"[46.218, 46.598]",O
"recently,","[46.638, 47.218]",O
and,"[47.759, 47.859]",O
I,"[47.879, 47.899]",O
was,"[47.939, 48.039]",O
supporting,"[48.059, 48.579]",O
an,"[48.599, 48.639]",O
Icelandic,"[49.14, 49.6]",O
comedian.,"[49.62, 50.14]",O
And,"[50.961, 51.121]",O
right,"[51.961, 52.121]",O
before,"[52.141, 52.361]",O
I,"[52.401, 52.441]",O
went,"[52.482, 52.602]",O
on,"[52.662, 52.762]",O
"stage,","[52.822, 53.202]",O
She,"[53.74, 53.86]",O
said,"[53.92, 54.1]",O
to,"[54.12, 54.2]",O
"me,","[54.24, 54.42]",O
"Crystal,","[55.021, 55.481]",O
just,"[56.061, 56.241]",O
to,"[56.261, 56.321]",O
let,"[56.361, 56.501]",O
you,"[56.521, 56.641]",O
"know,","[56.681, 56.921]",O
Icelandic,"[57.681, 58.202]",O
people,"[58.242, 58.622]",O
hate,"[59.082, 59.362]",O
Americans.,"[59.462, 60.102]",L
And,"[61.723, 61.803]",L
I,"[61.863, 61.903]",O
was,"[61.943, 62.063]",O
"like,","[62.103, 62.303]",O
"oh,","[62.623, 62.803]",O
"well,","[62.883, 63.604]",O
just,"[63.984, 64.164]",O
so,"[64.204, 64.384]",O
you,"[64.424, 64.584]",O
"know,","[64.624, 64.864]",O
that,"[65.564, 65.724]",O
doesn't,"[65.745, 65.985]",O
make,"[66.025, 66.165]",O
you,"[66.185, 66.305]",O
"special,","[66.345, 66.825]",L
OK?,"[66.845, 67.525]",L
Get,"[68.646, 68.786]",L
down,"[68.826, 69.026]",L
off,"[69.106, 69.226]",O
your,"[69.266, 69.406]",O
high,"[69.426, 69.626]",O
