text,timestamp,label
Bonsoir...,"[9.241, 9.481]",L
Ils,"[9.501, 15.563]",L
m'ont,"[15.583, 15.743]",O
mis,"[15.763, 15.903]",O
au,"[15.963, 16.063]",O
début...,"[16.103, 16.78]",L
Je,"[18.423, 18.483]",O
pense,"[18.503, 18.683]",O
que,"[18.703, 18.783]",O
tout,"[18.823, 18.903]",O
le,"[18.923, 18.963]",O
monde,"[18.983, 19.123]",O
commence,"[19.164, 19.504]",O
à,"[19.544, 19.584]",O
comprendre,"[19.624, 20.024]",O
pourquoi...,"[20.064, 20.42]",L
Parce,"[22.044, 22.204]",L
que,"[22.224, 22.324]",O
j'ai,"[22.344, 22.484]",O
vraiment,"[22.504, 22.764]",O
le,"[22.824, 22.884]",O
genre,"[22.904, 23.084]",O
d'attitude,"[23.104, 23.525]",O
qui,"[23.565, 23.665]",O
met,"[23.705, 23.905]",O
bien,"[23.965, 24.165]",O
l'ambiance,"[24.225, 24.645]",O
dès,"[24.685, 24.765]",O
le,"[24.805, 24.885]",O
départ...,"[24.905, 25.02]",L
Il,"[27.446, 27.486]",O
y,"[27.506, 27.526]",O
a,"[27.566, 27.586]",O
beaucoup,"[27.606, 27.786]",O
de,"[27.806, 27.846]",O
jeunes,"[27.886, 28.026]",O
dans,"[28.046, 28.146]",O
la,"[28.186, 28.246]",O
salle,"[28.286, 28.466]",O
"apparemment,","[28.486, 28.946]",O
c'est,"[28.966, 29.066]",O
cool...,"[29.086, 29.18]",L
Ça,"[33.887, 34.007]",O
veut,"[34.027, 34.147]",O
dire,"[34.167, 34.307]",O
que,"[34.327, 34.427]",O
si,"[34.447, 34.527]",O
je,"[34.567, 34.647]",O
parle,"[34.667, 34.827]",O
un,"[34.867, 34.927]",O
peu,"[34.947, 35.088]",O
vite,"[35.128, 35.288]",O
ou,"[35.328, 35.388]",O
un,"[35.428, 35.488]",O
peu,"[35.508, 35.628]",O
"différemment,","[35.668, 36.108]",O
vous,"[36.148, 36.268]",O
pouvez,"[36.288, 36.548]",O
suivre...,"[36.588, 36.788]",L
"Non,","[39.198, 39.278]",O
parce,"[39.298, 39.398]",O
qu'il,"[39.418, 39.498]",O
y,"[39.518, 39.538]",O
a,"[39.558, 39.598]",O
certaines,"[39.638, 39.918]",O
"salles,","[39.958, 40.179]",O
chez,"[40.199, 40.299]",O
"nous,","[40.319, 40.459]",O
en,"[40.499, 40.579]",O
"Suisse,","[40.619, 40.9]",O
si,"[42.5, 42.6]",O
tu,"[42.62, 42.74]",O
commences,"[42.76, 43.06]",O
ton,"[43.08, 43.16]",O
sketch,"[43.18, 43.46]",O
par,"[43.48, 43.56]",O
"Ouais,","[43.6, 43.721]",O
"putain,","[43.801, 44.041]",O
je,"[44.061, 44.101]",O
kiffe,"[44.121, 44.341]",O
pas,"[44.361, 44.421]",O
