text,timestamp,label
Yo,"[1.581, 1.721]",O
recuerdo,"[1.761, 2.061]",O
el,"[2.101, 2.141]",O
día 11,"[2.181, 2.322]",O
de,"[2.602, 2.702]",O
septiembre.,"[2.742, 3.162]",O
Estaba,"[3.182, 3.923]",O
en,"[3.963, 4.003]",O
casa,"[4.063, 4.263]",O
con,"[4.303, 4.383]",O
mi,"[4.423, 4.483]",O
padre,"[4.543, 4.743]",O
"comiendo,","[4.783, 5.104]",O
mirando,"[5.164, 5.404]",O
la,"[5.444, 5.504]",O
"tele,","[5.544, 5.804]",O
cuando,"[6.705, 6.965]",O
vimos,"[7.445, 7.626]",O
a,"[7.646, 7.666]",O
Matías,"[7.786, 8.106]",O
Prat,"[8.146, 8.346]",O
con,"[8.366, 8.466]",O
una,"[8.526, 8.626]",O
pantallita,"[8.666, 9.107]",O
pequeña,"[9.167, 9.527]",O
por,"[9.607, 9.707]",O
encima,"[9.747, 10.027]",O
de,"[10.087, 10.147]",O
"él,","[10.167, 10.268]",O
donde,"[10.308, 10.468]",O
había,"[10.488, 10.708]",O
una,"[11.548, 11.649]",O
torre,"[11.749, 11.989]",O
de,"[12.029, 12.109]",O
dos,"[12.189, 12.329]",O
humeando,"[13.05, 13.59]",O
humo,"[13.97, 14.15]",O
negro.,"[14.23, 14.531]",O
Me,"[15.011, 15.091]",O
mira,"[15.151, 15.311]",O
mi,"[15.371, 15.451]",O
padre,"[15.511, 15.692]",O
y,"[15.712, 15.732]",O
me,"[15.752, 15.812]",O
"dice,","[15.872, 16.212]",O
ahí,"[17.473, 17.533]",O
están,"[17.553, 17.713]",O
friendo,"[17.753, 18.013]",O
pescado.,"[18.073, 18.374]",L
"Digo,","[18.574, 18.794]",L
pues,"[18.814, 19.174]",L
se,"[22.016, 22.076]",O
le,"[22.136, 22.196]",O
está,"[22.216, 22.397]",O
"quemando,","[22.417, 22.797]",L
"papa,","[22.857, 23.117]",L
se,"[23.317, 23.397]",L
le,"[23.417, 23.477]",O
está,"[23.497, 23.638]",O
quemando.,"[23.658, 23.978]",O
Ni,"[25.37, 25.491]",O
cinco,"[25.611, 25.971]",O
minutos,"[26.052, 26.392]",O
habían,"[26.432, 26.693]",O
pasado,"[26.793, 27.114]",O
cuando,"[27.214, 27.434]",O
hace,"[27.474, 27.635]",O
el,"[27.675, 27.755]",O
segundo,"[27.815, 28.116]",O
avión,"[28.176, 28.436]",O
en,"[28.476, 28.537]",O
la,"[28.577, 28.637]",O
segunda,"[28.717, 29.058]",O
torre.,"[29.138, 29.458]",O
¡Cataplón!,"[29.959, 30.961]",O
Y,"[31.222, 31.262]",O
dice,"[31.322, 31.523]",O
mi,"[31.543, 31.623]",O
padre...,"[31.683, 31.923]",O
cómo,"[33.547, 33.687]",O
son,"[33.767, 33.887]",O
los,"[33.907, 34.007]",O
"yanquis,","[34.067, 34.548]",O
son,"[34.988, 35.148]",O
como,"[35.208, 35.368]",O
Carlos,"[35.428, 35.708]",O
"Fabra,","[35.768, 36.168]",O
te,"[36.209, 36.269]",O
montan,"[36.309, 36.549]",O
un,"[36.589, 36.629]",O
aeropuerto,"[36.649, 37.009]",O
en,"[37.049, 37.109]",O
cualquier,"[37.129, 37.389]",O
sitio.,"[37.449, 37.669]",O
"Digo,","[37.689, 37.889]",O
"no,","[37.909, 38.08]",L
no,"[39.55, 39.63]",L
es,"[39.69, 39.85]",L
"eso,","[39.951, 40.191]",L
"papá,","[40.271, 40.771]",L
no,"[41.111, 41.191]",L
es,"[41.271, 41.411]",L
"eso,","[41.491, 41.691]",L
yo,"[41.772, 41.872]",O
creo,"[41.952, 42.192]",O
que,"[42.232, 42.352]",O
están,"[42.372, 42.612]",O
hablando,"[42.652, 42.992]",O
de,"[43.032, 43.112]",O
otra,"[43.172, 43.332]",O
cosa.,"[43.412, 43.793]",O
Qué,"[43.813, 44.653]",O
"curioso,","[44.773, 45.474]",O
ni,"[45.894, 46.594]",O
cinco,"[46.614, 46.714]",O
minutos,"[46.774, 47.194]",O
más,"[47.214, 47.274]",O
habían,"[47.675, 48.035]",O
"pasado,","[48.115, 48.575]",O
cuando,"[49.416, 49.676]",O
ya,"[49.756, 49.876]",O
sabían,"[49.996, 50.436]",O
quién,"[50.736, 50.936]",O
había,"[50.976, 51.197]",O
sido.,"[51.297, 51.657]",L
Me,"[52.057, 52.137]",L
"pareció,","[52.197, 52.597]",L
en,"[52.938, 53.018]",L
mi,"[53.058, 53.138]",L
cabeza,"[53.198, 53.598]",L
lo,"[53.618, 53.658]",O
