text,timestamp,label
Lukáš,"[3.097, 3.499]",O
Pavlásek.,"[3.539, 4.182]",L
Dobrý,"[18.78, 19.0]",L
"večer,","[19.02, 19.86]",L
dobrý,"[19.9, 20.061]",O
večer.,"[20.081, 21.141]",O
Musím,"[21.181, 21.421]",O
"říct,","[21.441, 21.541]",O
já,"[21.581, 21.641]",O
jsem,"[21.661, 21.781]",O
teďka,"[21.821, 22.041]",O
nedávno,"[22.081, 22.442]",O
četl,"[22.462, 22.562]",O
takový,"[22.582, 22.802]",O
článek,"[22.882, 23.882]",O
o,"[23.962, 23.982]",O
mimozemských,"[24.022, 24.582]",O
"civilizacích,","[24.622, 25.243]",O
jo.,"[25.283, 25.663]",O
A,"[25.703, 25.723]",O
mě,"[25.743, 25.803]",O
na,"[25.823, 25.923]",O
tom,"[25.963, 26.103]",O
prostě,"[26.143, 26.443]",O
zaujala,"[26.503, 26.943]",O
jedna,"[26.983, 27.183]",O
"věc,","[27.223, 27.364]",O
že,"[27.384, 27.444]",O
tam,"[27.484, 27.604]",O
"psali,","[27.644, 27.944]",O
že,"[27.964, 28.024]",O
prostě,"[28.064, 28.284]",O
jako,"[28.304, 28.424]",O
spousta,"[28.444, 28.864]",O
"lidí,","[28.904, 29.104]",O
jako,"[29.124, 29.284]",O
si,"[29.324, 29.404]",O
vymýšlí,"[29.424, 29.825]",O
nebo,"[29.845, 30.005]",O
"tvrdí,","[30.045, 30.365]",O
"jo,","[30.405, 30.885]",O
že,"[30.925, 30.985]",O
je,"[31.025, 31.105]",O
prostě,"[31.145, 31.505]",O
mimozemšťani,"[31.545, 32.326]",L
unesli.,"[32.386, 34.026]",L
Prostě,"[34.046, 34.246]",O
jednou,"[34.266, 34.406]",O
"řekneš,","[34.426, 34.587]",O
že,"[34.607, 34.647]",O
ho,"[34.667, 34.747]",O
unesli,"[34.787, 35.107]",O
"mimozemšťani,","[35.127, 35.707]",O
jo.,"[35.727, 36.107]",O
A,"[36.127, 36.167]",O
teď,"[36.207, 36.307]",O
"jako,","[36.347, 36.507]",O
aby,"[36.547, 36.687]",O
to,"[36.727, 36.807]",O
ještě,"[36.847, 37.008]",O
nebylo,"[37.028, 37.228]",O
málo,"[37.248, 37.488]",O
toho,"[37.508, 37.628]",O
"výmyslu,","[37.648, 38.028]",O
tak,"[38.353, 38.493]",O
se,"[38.533, 38.593]",O
někdo,"[38.613, 38.773]",O
k,"[38.793, 38.813]",O
tomu,"[38.833, 38.973]",O
ještě,"[39.013, 39.333]",O
"přemyslí,","[39.393, 39.934]",O
že,"[40.314, 40.374]",O
ho,"[40.414, 40.834]",O
znásilnili.,"[40.894, 41.52]",L
Že,"[42.575, 42.655]",O
ho,"[42.695, 42.855]",O
unesli,"[42.895, 43.315]",O
a,"[43.375, 43.395]",O
znásilnili,"[43.415, 43.895]",L
mimozemšťaně.,"[43.915, 44.876]",L
Já,"[44.896, 44.976]",O
se,"[45.016, 45.096]",O
nad,"[45.116, 45.196]",O
tím,"[45.216, 45.316]",O
přemýšlel,"[45.356, 46.26]",L
a,"[47.337, 47.377]",O
říkal,"[47.397, 47.597]",O
jsem,"[47.617, 47.777]",O
"si,","[47.817, 47.917]",O
že,"[47.957, 48.057]",O
asi,"[48.097, 48.317]",O
musí,"[48.357, 49.218]",O
záležet,"[50.118, 50.518]",O
na,"[50.558, 50.658]",O
"tom,","[50.698, 51.198]",O
jaký,"[51.238, 51.599]",O
typ,"[51.719, 51.999]",O
mimozemštěna,"[52.039, 52.739]",O
vás,"[52.779, 52.939]",L
znásilní.,"[52.959, 53.559]",L
Protože,"[55.26, 55.44]",O
třeba,"[55.46, 55.62]",O
od,"[55.7, 55.76]",O
takového,"[55.78, 56.121]",O
vetřelce,"[56.161, 56.621]",O
to,"[56.641, 56.721]",O
musí,"[56.741, 56.881]",O
docela,"[56.921, 57.141]",O
bolet.,"[57.181, 57.48]",L
Ale,"[60.022, 60.262]",O
třeba,"[60.302, 60.562]",O
takovej,"[60.602, 60.983]",O
E.T.,"[61.063, 61.243]",L
Ale,"[66.015, 66.795]",O
"myslím,","[66.835, 67.115]",O
že,"[67.135, 67.196]",O
tohle,"[67.236, 67.456]",O
je,"[67.476, 67.536]",O
celé,"[67.576, 67.776]",O
jedno.,"[67.796, 68.076]",O
Myslím,"[68.096, 68.276]",O
"si,","[68.316, 68.376]",O
že,"[68.416, 68.456]",O
je,"[68.476, 68.536]",L
i,"[68.596, 68.776]",L
"jedno,","[68.816, 69.076]",L
jestli,"[69.116, 69.42]",L
někdo,"[70.397, 70.677]",L
z,"[70.697, 70.737]",L
nás,"[70.757, 71.457]",L
na,"[71.517, 71.617]",L
mimozemštěny,"[71.637, 72.238]",L
věří.,"[72.258, 73.078]",O
Já,"[73.118, 73.238]",O
si,"[73.278, 73.358]",O
"myslím,","[73.398, 73.658]",O
že,"[73.698, 73.778]",O
prostě,"[73.818, 74.058]",O
celý,"[74.139, 74.359]",O
ten,"[74.399, 74.579]",O
problém,"[74.659, 75.179]",O
té,"[75.219, 75.339]",O
věci,"[75.359, 75.619]",O
spočívá,"[75.639, 76.119]",O
v,"[76.159, 76.199]",O
"tom,","[76.239, 76.44]",O
že,"[77.14, 77.34]",O
oni,"[77.48, 78.06]",O
nevěřej,"[78.14, 78.721]",O
na,"[78.761, 78.841]",O
nás.,"[78.881, 79.241]",L
Dokonce,"[79.957, 81.097]",L
si,"[81.138, 81.258]",L
"myslím,","[81.298, 81.998]",L
že,"[82.038, 82.158]",L
oni,"[82.218, 82.358]",L
nás,"[82.398, 82.538]",L
mají,"[82.638, 82.758]",L
trošku,"[82.798, 83.158]",L
za,"[83.318, 83.419]",L
takový,"[83.439, 83.739]",L
idioty.,"[83.779, 84.519]",L
Vemte,"[84.919, 85.119]",L
si,"[85.159, 85.239]",L
"to,","[85.279, 85.559]",L
my,"[85.579, 85.639]",L
jsme,"[85.659, 85.78]",L
už,"[85.82, 85.98]",L
několikrát,"[86.02, 86.56]",L
"prokázali,","[86.62, 87.54]",L
